,æ‡¿Î,π… –
2004/4/30,1.711606457,0.535870038
2004/5/31,1.765540872,0.182246349
2004/6/30,1.690452173,-1.172335824
2004/7/31,1.718819831,-1.228374206
2004/8/31,1.626678238,-1.52107799
2004/9/30,1.587528229,-1.015410063
2004/10/31,1.481464317,-1.571332985
2004/11/30,1.551017658,-1.339168467
2004/12/31,1.620783326,-1.816497264
2005/2/28,1.422506378,-1.434243668
2005/3/31,1.56573932,-2.190533162
2005/4/30,1.474883863,-2.155389804
2005/5/31,1.613728913,-2.526546312
2005/6/30,1.509627955,-2.20306901
2005/7/31,1.477759375,-2.03815152
2005/8/31,1.381136964,-1.518014684
2005/9/30,1.514887478,-1.494682006
2005/10/31,1.502094045,-1.7465463
2005/11/30,1.64805965,-1.636472154
2005/12/31,1.436642001,-1.274158138
2006/2/28,1.366205436,-0.552164571
2006/3/31,1.288529714,-0.548176551
2006/4/30,1.179384885,0.19570257
2006/5/31,1.157697933,1.230180254
2006/6/30,1.228094657,1.352326594
2006/7/31,1.328052159,1.019683222
2006/8/31,1.244833713,1.228186411
2006/9/30,1.223247774,1.652535491
2006/10/31,1.192580647,1.988213509
2006/11/30,1.110354176,2.964730235
2006/12/31,1.188930585,4.409230066
2007/2/28,1.094141707,4.199156801
2007/3/31,1.374010652,4.187537768
2007/4/30,1.208954714,4.583440689
2007/5/31,1.21281134,4.215593121
2007/6/30,1.46025245,3.326535676
2007/7/31,1.412292021,3.743042267
2007/8/31,1.485321091,4.026076942
2007/9/30,1.535570479,3.819336657
2007/10/31,1.559816079,3.704071047
2007/11/30,1.651197357,2.556481956
2007/12/31,1.524406515,2.703479499
2008/2/29,1.678751915,1.885236921
2008/3/31,1.616898322,1.15970605
2008/4/30,1.480752595,1.309931667
2008/5/31,1.605767304,1.08528307
2008/6/30,1.657102057,0.52478467
2008/7/31,1.559570565,0.551499105
2008/8/31,1.518609937,0.245087036
2008/9/30,1.39876189,0.160027611
2008/10/31,1.497354552,-0.298809996
2008/11/30,1.447098349,-0.180698079
2008/12/31,1.527788561,-0.220805051
2009/2/28,1.437803868,-0.002874298
2009/3/31,1.441965432,0.238573235
2009/4/30,1.458646051,0.324215851
2009/5/31,1.515224274,0.452424276
2009/6/30,1.499550813,0.723489072
2009/7/31,1.394755984,1.095129345
2009/8/31,1.527548065,0.457257911
2009/9/30,1.625777429,0.548707738
