,工业增加值,CPI,PPI,M2,M1,固定资产投资完成额,社会消费品零售总额,进口金额,出口金额,各项贷款余额,stock,spread,currency,commodity,volume
1991-01-31,23.5,2.2,,,,,,,,,129.97,,5.2352,0.0,51000
1991-02-28,9.2,1.0,,,,,,,,,133.01,,5.2352,0.0,225800
1991-03-31,10.9,1.6,,,,,,,,,120.19,,5.2352,0.0,218500
1991-04-30,10.9,1.3,,,,,,,,,113.94,,5.3036,0.0,485000
1991-05-31,10.9,3.6,,,,,,,,,114.83,,5.349,0.0,121100
1991-06-30,9.2,4.4,,,,,,,,,137.56,,5.369,0.0,493500
1991-07-31,10.9,4.7,,,,,,,,,143.8,,5.3605,0.0,405100
1991-08-31,11.8,4.9,,,,,,,,,178.43,,5.3862,0.0,675900
1991-09-30,12.6,4.5,,,,,,,,,180.92,,5.3899,0.0,2559400
1991-10-31,11.8,4.8,,,,,,,,,218.6,,5.3944,0.0,392900
1991-11-30,7.6,4.4,,,,,,,,,259.6,,5.4115,0.0,3369500
1991-12-31,5.0,4.5,,,,,,,,,292.75,,5.4478,0.0,58400
1992-01-31,10.9,5.5,,,,,,,,,313.24,,5.4686,0.0,35400
1992-02-29,18.5,5.3,,,,,,,,,364.66,,5.4556,0.0,986200
1992-03-31,16.8,5.3,,,,,,,,,381.24,,5.4538,0.0,1739100
1992-04-30,15.1,7.1,,,,,,,,,445.38,,5.4963,0.0,4570400
1992-05-31,14.3,4.7,,,,,,,,,1234.71,,5.4774,0.0,5161500
1992-06-30,16.8,4.8,,,,31.0,,,,23.2,1191.19,,5.4484,0.0,5897600
1992-07-31,19.3,5.2,,,,32.0,,,,24.0,1052.07,,5.4065,0.0,8714900
1992-08-31,17.6,5.8,,,,33.0,,,,24.1,823.27,,5.3929,0.0,5429600
1992-09-30,17.6,7.5,,,,33.0,,,,21.5,702.32,,5.4864,0.0,8977800
1992-10-31,18.5,7.9,,,,33.6,,,,21.2,507.25,,5.5386,0.0,14651000
1992-11-30,21.8,8.2,,,,33.9,,,,21.1,724.6,,5.7055,0.0,37065500
1992-12-31,26.9,8.8,,,,36.8,,,,21.9,780.39,,5.7374,0.0,13551100
1993-01-31,8.4,10.3,,,,,,,,21.5,1198.48,,5.7606,0.0,52009700
1993-02-28,27.7,10.5,,,,64.1,,,,22.5,1339.88,,5.7258,0.0,65026200
1993-03-31,21.8,12.2,,,,63.7,,,,20.4,925.91,,5.7047,0.0,23505600
1993-04-30,21.0,12.6,,,,62.5,,,,20.1,1358.78,,5.6941,0.0,39949000
1993-05-31,22.7,14.0,,,,64.2,,,,19.4,935.48,,5.7147,0.0,34190800
1993-06-30,25.2,15.1,,,,63.6,,,,18.2,1007.05,,5.7468,0.0,58065100
1993-07-31,21.0,16.2,,,,63.9,,,,17.2,881.07,,5.7468,0.0,122213600
1993-08-31,19.3,16.0,,,,61.6,,,,16.8,895.68,,5.7703,0.0,16909200
1993-09-30,16.0,15.7,,,,59.6,,,,18.6,890.27,,5.7723,0.0,52482900
1993-10-31,13.4,15.9,,,,58.2,,,,19.5,814.82,,5.7868,0.0,99924000
1993-11-30,16.0,16.7,,,,57.3,,,,21.9,984.93,,5.805,0.0,160317700
1993-12-31,25.2,18.8,,,,65.5,,,,28.0,833.8,,5.7855,0.0,69706300
1994-01-31,27.7,21.1,,,,,,,,23.2,770.25,,8.6783,0.0,81296000
1994-02-28,3.4,23.2,,,,39.3,,,,22.1,770.98,,8.6947,0.0,285003400
1994-03-31,16.0,22.4,,,,30.9,,,,23.8,704.46,,8.6862,0.0,249675300
1994-04-30,16.8,21.7,,,,35.4,,,,23.8,592.56,,8.6847,0.0,260483500
1994-05-31,17.6,21.3,,,,31.5,,,,24.9,556.26,,8.6596,0.0,310822800
