,000001.SH,return,volatility,sharpe
1990-12-31,127.61,,,
1991-01-31,129.97,,,
1991-02-28,133.01,,,
1991-03-31,120.19,,,
1991-04-30,113.94,,,
1991-05-31,114.83,,,
1991-06-30,137.56,,,
1991-07-31,143.8,,,
1991-08-31,178.43,,,
1991-09-30,180.92,,,
1991-10-31,218.6,,,
1991-11-30,259.6,,,
1991-12-31,292.75,1.25220186616,0.105756563368,7.74211135471
1992-01-31,313.24,1.41583323847,0.103454052446,8.59233592166
1992-02-29,364.66,2.05662741012,0.114361892648,9.8480324124
1992-03-31,381.24,2.39426702636,0.109313468097,11.2606635712
1992-04-30,445.38,3.38013227333,0.114366191628,13.0095916495
1992-05-31,1234.71,9.78894900459,1.09047542307,2.52731256583
1992-06-30,1191.19,8.59440989488,1.09786316237,2.40976364666
1992-07-31,1052.07,5.96209480355,1.11138657533,2.10204528993
1992-08-31,823.27,3.63796032546,1.13457330739,1.72132690375
1992-09-30,702.32,2.61341302065,1.15614469924,1.49286304733
1992-10-31,507.25,1.17407354458,1.17829496398,1.05392045793
1992-11-30,724.6,1.70483625762,1.24069370184,1.23155022476
1992-12-31,780.39,1.63840752196,1.26740705674,1.21143529479
1993-01-31,1198.48,2.74646716293,1.27834233672,1.48776690922
1993-02-28,1339.88,2.74019595575,1.29660047935,1.48333257659
1993-03-31,925.91,1.30969613639,1.32800229025,1.11454242645
1993-04-30,1358.78,1.27530302732,1.34091824918,1.10451498348
1993-05-31,935.48,-0.206692816947,0.800058642385,0.0957991460092
1993-06-30,1007.05,-0.0868137281207,0.822707642486,0.284907153487
1993-07-31,881.07,-0.0646880425829,0.796555470712,0.298066737787
1993-08-31,895.68,0.19572641943,0.778407358844,0.602990386071
1993-09-30,890.27,0.683711728578,0.767266918993,1.04740160277
1993-10-31,814.82,1.10358006315,0.740521502967,1.35832845542
1993-11-30,984.93,0.362756426944,0.595667679421,0.812851451082
1993-12-31,833.8,-0.250848890399,0.593829202946,-0.192646009803
1994-01-31,770.25,-0.403442617099,0.570384070274,-0.622928365332
1994-02-28,770.98,-0.370711962638,0.521282252266,-0.630121855256
1994-03-31,704.46,-0.4370770622,0.457869848775,-1.02673496329
1994-04-30,592.56,-0.489535793812,0.451517828178,-1.26434294441
1994-05-31,556.26,-0.459446509819,0.398434739278,-1.34321734748
1994-06-30,469.29,-0.45920766831,0.397139986362,-1.34785807063
1994-07-31,333.92,-0.688620456937,0.390281986753,-2.78630666946
1994-08-31,785.33,-0.106566023674,0.665965972316,0.137522090754
1994-09-30,791.15,-0.060017593781,0.712667186533,0.244155644991
1994-10-31,654.98,-0.273723838343,0.767203976882,-0.0567497795563
1994-11-30,683.59,-0.282770304072,0.774284106365,-0.0654408764297
1994-12-31,647.87,-0.245593150729,0.761356112065,-0.0143019677286
1995-01-31,562.59,-0.277380360193,0.759617159841,-0.072731330155
1995-02-28,549.26,-0.313669060437,0.761732269371,-0.137913006673
1995-03-31,646.92,0.0177523062446,0.765605671568,0.381191722838
1995-04-30,579.93,-0.0184424219046,0.756884603698,0.329055245835
1995-05-31,700.51,0.448573584317,0.84748569422,0.830929367915
1995-06-30,630.58,0.483383079671,0.845506129757,0.859080605443
1995-07-31,695.55,0.00889491598426,0.656851519589,0.328544827897
1995-08-31,723.87,-0.266540548638,0.61452225482,-0.209915697867
1995-09-30,722.43,0.179846863341,0.550053918962,0.560252419193
1995-10-31,717.32,-0.0228069922158,0.506961591874,0.192042668705
1995-11-30,641.14,0.026546163484,0.505161626951,0.288487452058
1995-12-31,555.29,-0.0740023630015,0.499198658472,0.0795682248701
1996-01-31,537.35,-0.00729208558296,0.498508592456,0.21851463336
1996-02-29,552.94,-0.0903652284322,0.478792695985,0.0256558759288
1996-03-31,556.39,-0.161669463406,0.484120242834,-0.138292482425
1996-04-30,681.16,0.185434103088,0.499796960315,0.574431171908
1996-05-31,643.65,-0.0781022893205,0.32151698571,-0.0936975336988
1996-06-30,804.251,0.273180027717,0.333925497399,0.888294670371
1996-07-31,822.477,0.161170086954,0.338525888716,0.608796273967
