,S&P500,stock return,stock volatility
1927-12-31,17.66,,
1928-01-31,17.57,,
1928-02-29,17.26,,
1928-03-31,19.28,,
1928-04-30,19.75,,
1928-05-31,20.0,,
1928-06-30,19.14,,
1928-07-31,19.43,,
1928-08-31,20.87,,
1928-09-30,21.14,,
1928-10-31,21.68,,
1928-11-30,24.28,,
1928-12-31,24.35,0.393817973669,0.00944847359823
1929-01-31,25.74,0.475917431193,0.00966274785745
1929-02-28,25.59,0.421666666667,0.0100079460649
1929-03-31,25.53,0.33664921466,0.0106508779269
1929-04-30,25.94,0.283523008412,0.0107982116512
1929-05-31,24.83,0.35387131952,0.0111317093712
1929-06-30,27.41,0.446437994723,0.0108027300254
1929-07-31,28.88,0.50025974026,0.010886856516
1929-08-31,31.71,0.498582230624,0.0113581206553
1929-09-30,30.16,0.408687529192,0.0119054184779
1929-10-31,24.15,0.054124836316,0.0197030838839
1929-11-30,20.92,-0.0623038995966,0.023133125163
1929-12-31,21.45,-0.127339300244,0.023726749201
1930-01-31,22.79,-0.0876701361089,0.0236218216516
1930-02-28,23.28,-0.067681217461,0.0236094440292
1930-03-31,25.14,0.00319233838787,0.0232308103838
1930-04-30,24.9,-0.0546697038724,0.023301326534
1930-05-31,24.49,-0.0369642154935,0.0232378299504
1930-06-30,20.46,-0.276008492569,0.0246662413465
1930-07-31,21.21,-0.275367270243,0.0248848416696
1930-08-31,21.37,-0.322232794164,0.0250139297663
1930-09-30,18.59,-0.396624472574,0.0246644300293
1930-10-31,16.94,-0.0407701019253,0.0183668524233
1930-11-30,16.38,-0.268096514745,0.0172284606991
1930-12-31,15.34,-0.288497217069,0.0174452697343
1931-01-31,16.19,-0.306934931507,0.0177965312008
1931-02-28,18.03,-0.239881956155,0.0181332283271
1931-03-31,16.69,-0.356095679012,0.0185252566982
1931-04-30,15.09,-0.373599003736,0.0187439986329
1931-05-31,13.02,-0.413513513514,0.0188945105167
1931-06-30,14.83,-0.305711610487,0.0199600190047
1931-07-31,13.73,-0.318948412698,0.0200302076564
1931-08-31,13.86,-0.345917885795,0.0201546858103
1931-09-30,9.71,-0.466483516484,0.0215037077794
1931-10-31,10.43,-0.382474837182,0.0244219603093
1931-11-30,9.5,-0.384316267012,0.0249635830783
1931-12-31,8.12,-0.474773609314,0.025761926063
1932-01-31,7.94,-0.537834691502,0.0269391422953
1932-02-29,8.29,-0.521362586605,0.0281728555985
1932-03-31,7.31,-0.548207663782,0.0286394097521
1932-04-30,5.83,-0.602319236016,0.0291740986559
1932-05-31,4.47,-0.674909090909,0.0295212727419
1932-06-30,4.43,-0.685592618879,0.0301784561026
1932-07-31,6.03,-0.568977841315,0.0312953651438
1932-08-31,8.39,-0.306611570248,0.0335437262845
1932-09-30,8.08,-0.181357649443,0.0326185303041
1932-10-31,6.96,-0.371273712737,0.0339971780156
1932-11-30,6.55,-0.211793020457,0.0346023964878
1932-12-31,6.92,-0.213636363636,0.0334359269494
1933-01-31,6.94,-0.145320197044,0.0328031908882
1933-02-28,5.66,-0.35166093929,0.0329575909622
1933-03-31,5.85,-0.171388101983,0.0347386169811
1933-04-30,7.83,0.343053173242,0.0354224553804
1933-05-31,9.64,1.19090909091,0.035171392146
1933-06-30,10.91,1.37173913043,0.0346856793766
1933-07-31,9.95,0.628477905074,0.0358590124296
1933-08-31,11.09,0.3093270366,0.034264561858
1933-09-30,9.72,0.20297029703,0.0326178245978
1933-10-31,8.96,0.325443786982,0.0318057150455
1933-11-30,9.88,0.468053491828,0.0308843405217
1933-12-31,9.97,0.440751445087,0.0307318311308
1934-01-31,11.17,0.674662668666,0.0306511442431
1934-02-28,10.76,0.864818024263,0.0300498273359
1934-03-31,10.62,0.623853211009,0.0275440936945
1934-04-30,10.46,0.185941043084,0.0249994941481
1934-05-31,9.61,-0.11753902663,0.0245265917117
1934-06-30,9.81,-0.173546756529,0.0230561338143
1934-07-31,8.68,-0.183443085607,0.0207630274035
1934-08-31,9.15,-0.176417641764,0.0204054128028
1934-09-30,9.08,-0.112414467253,0.0194465366343
1934-10-31,8.81,-0.101936799185,0.0174463264984
1934-11-30,9.54,-0.074684772066,0.0168978813119
1934-12-31,9.5,-0.0631163708087,0.0165059164151
1935-01-31,9.1,-0.186046511628,0.0156756509949
1935-02-28,8.74,-0.185461323392,0.0153109161453
1935-03-31,8.45,-0.233907524932,0.0152002316032
1935-04-30,9.28,-0.0607287449393,0.0149400402542
1935-05-31,9.58,-0.0505450941526,0.0143716429451
1935-06-30,10.24,0.0301810865191,0.0142466045024
1935-07-31,11.08,0.213581599124,0.0124190238443
1935-08-31,11.24,0.288990825688,0.0120777295466
1935-09-30,11.59,0.312570781427,0.0117234012893
1935-10-31,12.46,0.354347826087,0.0116843850215
1935-11-30,12.94,0.411123227917,0.0116974355066
1935-12-31,13.43,0.451891891892,0.0116983411429
1936-01-31,14.31,0.588235294118,0.0116168024433
1936-02-29,14.6,0.782661782662,0.0111089485511
1936-03-31,14.92,0.667039106145,0.0114390967088
1936-04-30,13.77,0.403669724771,0.0119669891046
1936-05-31,14.4,0.422924901186,0.0119421875639
1936-06-30,14.84,0.39736346516,0.0119413025568
1936-07-31,15.85,0.361683848797,0.0117582876347
1936-08-31,15.99,0.36433447099,0.0118065470711
1936-09-30,16.01,0.344248530647,0.0113804541613
1936-10-31,17.23,0.297439759036,0.0113205661496
1936-11-30,17.28,0.345794392523,0.0111313280349
1936-12-31,17.18,0.247639796659,0.0112018754231
1937-01-31,17.77,0.212141882674,0.0111552979284
1937-02-28,18.06,0.213709677419,0.0107343561359
1937-03-31,17.92,0.162127107652,0.0106664207248
1937-04-30,16.43,0.176091624911,0.0106420415182
1937-05-31,16.26,0.117525773196,0.0108775945542
1937-06-30,15.4,0.00325732899023,0.0112197121885
1937-07-31,16.77,0.0351851851852,0.01146732104
1937-08-31,16.04,-0.00742574257426,0.0113796638947
1937-09-30,13.76,-0.184350918791,0.0134703881786
1937-10-31,12.35,-0.299489506523,0.0165231278716
1937-11-30,11.11,-0.348387096774,0.0182655551285
1937-12-31,10.55,-0.400908574673,0.0187933806352
1938-01-31,10.69,-0.416484716157,0.0197085793595
1938-02-28,11.34,-0.382352941176,0.0203264152635
1938-03-31,8.5,-0.506674405107,0.0212674557225
1938-04-30,9.78,-0.375079872204,0.0220005855334
1938-05-31,9.27,-0.390131578947,0.0222820820699
1938-06-30,11.56,-0.297691373026,0.0230430878405
1938-07-31,12.33,-0.278947368421,0.0234623671369
1938-08-31,12.06,-0.17453798768,0.0231911846513
1938-09-30,12.24,0.0337837837838,0.0233163264327
1938-10-31,13.17,0.147212543554,0.0212614567022
1938-11-30,12.73,0.175438596491,0.0205838340584
1938-12-31,13.14,0.109797297297,0.0197040143805
1939-01-31,12.3,0.121239744758,0.0198697908739
1939-02-28,12.7,0.166207529844,0.0196877349342
1939-03-31,10.98,0.10351758794,0.0182583368817
1939-04-30,10.93,0.0282220131703,0.0179018329905
1939-05-31,11.6,0.167002012072,0.0176613027766
1939-06-30,10.86,-0.0980066445183,0.0167721615141
1939-07-31,12.04,-0.0482213438735,0.0167109289483
1939-08-31,11.18,-0.0729684908789,0.0165833840745
1939-09-30,12.79,-0.00929512006197,0.0172803235242
1939-10-31,12.83,-0.063503649635,0.0170351915713
1939-11-30,12.2,-0.0208667736758,0.0166514444764
1939-12-31,12.46,-0.00875099443119,0.0164157030356
1940-01-31,12.05,-0.0227088402271,0.0154207902545
1940-02-29,12.13,-0.0611455108359,0.015210325905
1940-03-31,12.18,0.168905950096,0.0138066100257
1940-04-30,12.19,0.0797165633304,0.0134045039768
1940-05-31,9.27,-0.199481865285,0.0155539685556
1940-06-30,9.98,-0.135930735931,0.0163838209546
