count,date
630,2010-11-06
49503,2010-11-07
11548,2010-11-08
17906,2010-11-09
69819,2010-11-10
922,2010-11-11
945,2010-11-12
2125,2010-11-15
1307,2010-11-16
5469,2010-11-17
2708,2010-11-18
5709,2010-11-19
4497,2010-11-20
1682,2010-11-22
1041,2010-11-23
6669,2010-11-24
729,2010-11-25
2367,2010-11-26
1285,2010-11-27
203,2010-11-28
1054,2010-11-29
4708,2010-11-30
6798,2010-12-01
8189,2010-12-02
7136,2010-12-03
1718,2010-12-04
1086,2010-12-05
10311,2010-12-06
8826,2010-12-07
8099,2010-12-08
3574,2010-12-09
6474,2010-12-10
219,2010-12-11
919,2010-12-12
2981,2010-12-13
10063,2010-12-14
4531,2010-12-15
8727,2010-12-16
9321,2010-12-17
5242,2010-12-18
409,2010-12-19
8879,2010-12-20
1318,2010-12-21
9130,2010-12-22
3016,2010-12-23
2182,2010-12-24
4988,2010-12-27
3146,2010-12-28
2946,2010-12-29
3183,2010-12-30
857,2010-12-31
6488,2011-01-03
3108,2011-01-04
18769,2011-01-05
6858,2011-01-06
3058,2011-01-07
7807,2011-01-08
2135,2011-01-09
6756,2011-01-10
4970,2011-01-11
4854,2011-01-12
1904,2011-01-13
5629,2011-01-14
3738,2011-01-15
7116,2011-01-17
5875,2011-01-18
1947,2011-01-19
8700,2011-01-20
7337,2011-01-21
371,2011-01-22
3959,2011-01-24
4529,2011-01-25
2023,2011-01-26
2304,2011-01-27
1717,2011-01-28
1977,2011-01-29
64,2011-01-30
350,2011-01-31
764,2011-02-01
527,2011-02-10
848,2011-02-11
172,2011-02-12
3165,2011-02-14
2837,2011-02-15
3127,2011-02-16
843,2011-02-17
1011,2011-02-18
118,2011-02-19
388,2011-02-20
4572,2011-02-21
3355,2011-02-22
1995,2011-02-23
4075,2011-02-24
4397,2011-02-25
4505,2011-02-26
3056,2011-02-27
16104,2011-02-28
3541,2011-03-01
3091,2011-03-02
5643,2011-03-03
2605,2011-03-04
958,2011-03-05
2053,2011-03-06
3210,2011-03-07
2346,2011-03-08
4211,2011-03-09
4015,2011-03-10
10784,2011-03-11
572,2011-03-12
495,2011-03-13
5006,2011-03-14
3250,2011-03-15
1528,2011-03-16
2101,2011-03-17
1847,2011-03-18
3542,2011-03-19
6844,2011-03-20
3121,2011-03-21
5606,2011-03-22
4926,2011-03-23
6832,2011-03-24
6450,2011-03-25
4510,2011-03-26
4525,2011-03-27
4234,2011-03-28
14997,2011-03-29
6440,2011-03-30
6154,2011-03-31
9646,2011-04-01
4086,2011-04-02
437,2011-04-03
4558,2011-04-04
5545,2011-04-05
8189,2011-04-06
4691,2011-04-07
8053,2011-04-08
1366,2011-04-09
182,2011-04-10
5280,2011-04-11
7964,2011-04-12
6581,2011-04-13
4498,2011-04-14
10087,2011-04-15
9642,2011-04-16
2736,2011-04-17
7383,2011-04-18
7108,2011-04-19
7423,2011-04-20
7689,2011-04-21
2728,2011-04-22
1365,2011-04-23
1856,2011-04-24
1846,2011-04-25
7493,2011-04-26
7640,2011-04-27
5287,2011-04-28
2695,2011-04-29
1033,2011-04-30
288,2011-05-01
1849,2011-05-02
1890,2011-05-03
1290,2011-05-04
3131,2011-05-05
4570,2011-05-06
2278,2011-05-07
1121,2011-05-08
3574,2011-05-09
12095,2011-05-10
10018,2011-05-11
6451,2011-05-12
2612,2011-05-13
1939,2011-05-14
5257,2011-05-15
3726,2011-05-16
4055,2011-05-17
1908,2011-05-18
2815,2011-05-19
3220,2011-05-20
2912,2011-05-21
658,2011-05-22
4558,2011-05-23
6156,2011-05-24
3529,2011-05-25
2566,2011-05-26
4566,2011-05-27
1754,2011-05-28
2480,2011-05-29
2293,2011-05-30
8132,2011-05-31
3358,2011-06-01
4360,2011-06-03
3245,2011-06-04
234,2011-06-05
3154,2011-06-06
7245,2011-06-07
5985,2011-06-08
6700,2011-06-09
4386,2011-06-10
1455,2011-06-11
2129,2011-06-12
4512,2011-06-13
7082,2011-06-14
3821,2011-06-15
4646,2011-06-16
4802,2011-06-17
13092,2011-06-18
712,2011-06-19
4568,2011-06-20
7043,2011-06-21
5538,2011-06-22
5350,2011-06-23
4329,2011-06-24
4140,2011-06-25
2069,2011-06-26
6190,2011-06-27
4990,2011-06-28
5762,2011-06-29
7431,2011-06-30
5783,2011-07-01
5425,2011-07-02
1234,2011-07-03
2030,2011-07-04
5503,2011-07-05
8878,2011-07-06
3731,2011-07-07
7394,2011-07-08
3852,2011-07-09
1731,2011-07-10
5011,2011-07-11
5110,2011-07-12
13402,2011-07-13
9135,2011-07-14
12401,2011-07-15
3202,2011-07-16
2311,2011-07-17
8250,2011-07-18
7155,2011-07-19
9731,2011-07-20
17410,2011-07-21
7574,2011-07-22
4815,2011-07-23
841,2011-07-24
6416,2011-07-25
8310,2011-07-26
9156,2011-07-27
9187,2011-07-28
6782,2011-07-29
2000,2011-07-30
5760,2011-07-31
7740,2011-08-01
4726,2011-08-02
9124,2011-08-03
5824,2011-08-04
6447,2011-08-05
6080,2011-08-06
3952,2011-08-07
10012,2011-08-08
7984,2011-08-09
9800,2011-08-10
7233,2011-08-11
5552,2011-08-12
5179,2011-08-13
5204,2011-08-14
8054,2011-08-15
7204,2011-08-16
7351,2011-08-17
9412,2011-08-18
8101,2011-08-19
6060,2011-08-20
5616,2011-08-21
7638,2011-08-22
6793,2011-08-23
7326,2011-08-24
8124,2011-08-25
17810,2011-08-26
535,2011-08-27
839,2011-08-28
7489,2011-08-29
5157,2011-08-30
9048,2011-08-31
6393,2011-09-01
5645,2011-09-02
2728,2011-09-03
5485,2011-09-04
5949,2011-09-05
9139,2011-09-06
5764,2011-09-07
6932,2011-09-08
16266,2011-09-09
3962,2011-09-10
939,2011-09-11
5494,2011-09-12
6314,2011-09-13
5604,2011-09-14
6507,2011-09-15
9060,2011-09-16
4674,2011-09-17
5305,2011-09-18
7662,2011-09-19
7364,2011-09-20
13813,2011-09-21
10605,2011-09-22
5088,2011-09-23
8950,2011-09-24
11733,2011-09-25
8396,2011-09-26
6882,2011-09-27
7407,2011-09-28
8001,2011-09-29
9482,2011-09-30
5295,2011-10-01
3814,2011-10-02
4793,2011-10-03
2990,2011-10-04
3341,2011-10-05
3015,2011-10-06
2511,2011-10-07
1063,2011-10-08
3899,2011-10-10
5911,2011-10-11
9192,2011-10-12
5747,2011-10-13
11267,2011-10-14
5331,2011-10-15
7146,2011-10-16
6646,2011-10-17
10342,2011-10-18
7702,2011-10-19
19239,2011-10-20
7470,2011-10-21
5022,2011-10-22
2208,2011-10-23
4020,2011-10-24
4050,2011-10-25
4018,2011-10-26
4238,2011-10-27
1060,2011-10-28
2677,2011-10-29
500,2011-10-30
7572,2011-10-31
5444,2011-11-01
7743,2011-11-02
6844,2011-11-03
12182,2011-11-04
7090,2011-11-05
6796,2011-11-06
6567,2011-11-07
9622,2011-11-08
6902,2011-11-09
8992,2011-11-10
11299,2011-11-11
3036,2011-11-12
4519,2011-11-13
11642,2011-11-14
7927,2011-11-15
10186,2011-11-16
9651,2011-11-17
4278,2011-11-18
9985,2011-11-19
5483,2011-11-20
8967,2011-11-21
9121,2011-11-22
