close,date
2514.646,2010-01-04
2543.991,2010-01-05
2514.014,2010-01-06
2463.758,2010-01-07
2466.165,2010-01-08
2478.81,2010-01-11
2508.039,2010-01-12
2399.642,2010-01-13
2422.771,2010-01-14
2427.807,2010-01-15
2421.188,2010-01-18
2432.713,2010-01-19
2359.485,2010-01-20
2377.753,2010-01-21
2380.055,2010-01-22
2353.471,2010-01-25
2311.447,2010-01-26
2264.605,2010-01-27
2252.61,2010-01-28
2243.994,2010-01-29
2208.936,2010-02-01
2214.033,2010-02-02
2277.798,2010-02-03
2261.358,2010-02-04
2219.6,2010-02-05
2211.135,2010-02-08
2229.038,2010-02-09
2259.99,2010-02-10
2265.138,2010-02-11
2284.386,2010-02-12
2269.045,2010-02-22
2227.952,2010-02-23
2251.7,2010-02-24
2282.64,2010-02-25
2274.325,2010-02-26
2311.075,2010-03-01
2302.185,2010-03-02
2311.841,2010-03-03
2261.926,2010-03-04
2267.939,2010-03-05
2284.682,2010-03-08
2302.393,2010-03-09
2292.503,2010-03-10
2300.043,2010-03-11
2274.532,2010-03-12
2240.731,2010-03-15
2261.515,2010-03-16
2307.083,2010-03-17
2294.947,2010-03-18
2310.546,2010-03-19
2316.631,2010-03-22
2292.004,2010-03-23
2291.833,2010-03-24
2259.141,2010-03-25
2292.673,2010-03-26
2363.976,2010-03-29
2368.51,2010-03-30
2350.818,2010-03-31
2376.597,2010-04-01
2379.194,2010-04-02
2378.575,2010-04-06
2362.281,2010-04-07
2325.672,2010-04-08
2345.754,2010-04-09
2317.383,2010-04-12
2364.837,2010-04-13
2366.611,2010-04-14
2366.572,2010-04-15
2329.12,2010-04-16
2210.82,2010-04-19
2204.812,2010-04-20
2238.501,2010-04-21
2196.224,2010-04-22
2185.155,2010-04-23
2170.319,2010-04-26
2131.841,2010-04-27
2126.529,2010-04-28
2124.392,2010-04-29
2149.453,2010-04-30
2109.812,2010-05-04
2110.045,2010-05-05
2007.012,2010-05-06
1980.168,2010-05-07
2007.522,2010-05-10
1967.66,2010-05-11
2001.131,2010-05-12
2041.556,2010-05-13
2019.73,2010-05-14
1927.692,2010-05-17
1968.37,2010-05-18
1956.22,2010-05-19
1925.244,2010-05-20
1943.429,2010-05-21
2007.763,2010-05-24
1958.458,2010-05-25
1957.943,2010-05-26
1982.952,2010-05-27
1973.622,2010-05-28
1926.109,2010-05-31
1911.432,2010-06-01
1907.902,2010-06-02
1895.147,2010-06-03
1894.45,2010-06-04
1853.363,2010-06-07
1845.13,2010-06-08
1906.896,2010-06-09
1873.824,2010-06-10
1883.196,2010-06-11
1882.133,2010-06-17
1870.871,2010-06-18
1933.616,2010-06-21
1930.002,2010-06-22
1913.626,2010-06-23
1914.646,2010-06-24
1915.91,2010-06-25
1910.469,2010-06-28
1833.037,2010-06-29
1819.109,2010-06-30
1799.881,2010-07-01
1812.58,2010-07-02
1797.66,2010-07-05
1826.395,2010-07-06
1829.557,2010-07-07
1828.131,2010-07-08
1870.303,2010-07-09
1887.671,2010-07-12
1859.152,2010-07-13
1873.038,2010-07-14
1840.668,2010-07-15
1839.219,2010-07-16
1878.528,2010-07-19
1909.965,2010-07-20
1914.33,2010-07-21
1933.877,2010-07-22
1945.451,2010-07-23
1951.87,2010-07-26
1936.074,2010-07-27
1983.628,2010-07-28
1993.87,2010-07-29
1986.76,2010-07-30
2015.655,2010-08-02
1978.414,2010-08-03
1981.525,2010-08-04
1954.336,2010-08-05
1979.228,2010-08-06
1988.017,2010-08-09
1934.587,2010-08-10
1939.844,2010-08-11
1914.451,2010-08-12
1930.671,2010-08-13
1971.295,2010-08-16
1979.789,2010-08-17
1974.664,2010-08-18
1994.162,2010-08-19
1967.061,2010-08-20
1962.778,2010-08-23
1960.055,2010-08-24
1914.997,2010-08-25
1914.636,2010-08-26
1917.581,2010-08-27
