close,date
99.1432,2010-01-04
99.1471,2010-01-05
99.164,2010-01-06
99.1443,2010-01-07
99.1116,2010-01-08
99.1005,2010-01-11
99.08,2010-01-12
99.016,2010-01-13
99.0455,2010-01-14
99.0593,2010-01-15
99.0696,2010-01-18
99.0749,2010-01-19
99.1241,2010-01-20
99.1376,2010-01-21
99.1658,2010-01-22
99.1809,2010-01-25
99.2124,2010-01-26
99.2433,2010-01-27
99.2479,2010-01-28
99.2594,2010-01-29
99.3122,2010-02-01
99.3564,2010-02-02
99.3893,2010-02-03
99.3821,2010-02-04
99.4036,2010-02-05
99.439,2010-02-08
99.4656,2010-02-09
99.4773,2010-02-10
99.479,2010-02-11
99.4717,2010-02-12
99.4087,2010-02-22
99.4047,2010-02-23
99.4462,2010-02-24
99.5092,2010-02-25
99.6703,2010-02-26
99.7193,2010-03-01
99.7723,2010-03-02
99.8467,2010-03-03
99.8194,2010-03-04
99.848,2010-03-05
99.8843,2010-03-08
99.8778,2010-03-09
99.9091,2010-03-10
99.8821,2010-03-11
99.8835,2010-03-12
99.8936,2010-03-15
99.9204,2010-03-16
99.9782,2010-03-17
100.011,2010-03-18
100.0199,2010-03-19
99.9939,2010-03-22
99.9871,2010-03-23
99.9908,2010-03-24
99.9801,2010-03-25
99.9682,2010-03-26
99.93,2010-03-29
99.8972,2010-03-30
99.9253,2010-03-31
99.9221,2010-04-01
99.9274,2010-04-02
99.9219,2010-04-06
99.8605,2010-04-07
99.8069,2010-04-08
99.8,2010-04-09
99.8014,2010-04-12
99.8404,2010-04-13
99.8497,2010-04-14
99.8663,2010-04-15
99.8766,2010-04-16
99.9274,2010-04-19
99.9641,2010-04-20
99.9886,2010-04-21
100.0151,2010-04-22
100.0605,2010-04-23
100.1204,2010-04-26
100.1342,2010-04-27
100.1669,2010-04-28
100.1822,2010-04-29
100.1853,2010-04-30
100.1375,2010-05-04
100.1231,2010-05-05
100.1431,2010-05-06
100.2404,2010-05-07
100.2327,2010-05-10
100.2244,2010-05-11
100.2589,2010-05-12
100.2893,2010-05-13
100.2915,2010-05-14
100.3238,2010-05-17
100.3998,2010-05-18
100.4673,2010-05-19
100.4559,2010-05-20
100.4613,2010-05-21
100.421,2010-05-24
100.402,2010-05-25
100.4088,2010-05-26
100.3794,2010-05-27
100.3619,2010-05-28
100.3483,2010-05-31
100.2747,2010-06-01
100.2757,2010-06-02
100.3042,2010-06-03
100.3192,2010-06-04
100.3368,2010-06-07
100.3264,2010-06-08
100.3097,2010-06-09
100.2716,2010-06-10
100.2173,2010-06-11
100.197,2010-06-17
100.0172,2010-06-18
100.0084,2010-06-21
100.0194,2010-06-22
99.9994,2010-06-23
99.9999,2010-06-24
99.9833,2010-06-25
100.0396,2010-06-28
100.0864,2010-06-29
100.1225,2010-06-30
100.1403,2010-07-01
100.157,2010-07-02
100.1813,2010-07-05
100.269,2010-07-06
100.3142,2010-07-07
100.3223,2010-07-08
100.3293,2010-07-09
100.3508,2010-07-12
100.4231,2010-07-13
100.4486,2010-07-14
100.4642,2010-07-15
100.4965,2010-07-16
100.5067,2010-07-19
100.4981,2010-07-20
100.4882,2010-07-21
100.4822,2010-07-22
100.4644,2010-07-23
100.4236,2010-07-26
100.4071,2010-07-27
100.4024,2010-07-28
100.412,2010-07-29
100.3955,2010-07-30
100.3832,2010-08-02
100.3734,2010-08-03
100.3878,2010-08-04
100.4025,2010-08-05
100.4194,2010-08-06
100.4231,2010-08-09
100.4271,2010-08-10
100.4422,2010-08-11
100.5075,2010-08-12
100.5244,2010-08-13
100.5221,2010-08-16
100.5198,2010-08-17
100.5224,2010-08-18
100.5334,2010-08-19
100.532,2010-08-20
100.5312,2010-08-23
100.5472,2010-08-24
100.554,2010-08-25
100.5278,2010-08-26
100.5153,2010-08-27
100.5182,2010-08-30
100.5046,2010-08-31
100.5053,2010-09-01
100.5105,2010-09-02
100.5016,2010-09-03
100.4948,2010-09-06
100.453,2010-09-07
100.4511,2010-09-08
100.4258,2010-09-09
100.3922,2010-09-10
100.3372,2010-09-13
100.3185,2010-09-14
100.3012,2010-09-15
100.2724,2010-09-16
100.2615,2010-09-17
100.2474,2010-09-20
100.2277,2010-09-21
100.202,2010-09-27
100.1863,2010-09-28
100.18,2010-09-29
100.1926,2010-09-30
100.1743,2010-10-08
100.0873,2010-10-11
100.0618,2010-10-12
100.054,2010-10-13
100.0451,2010-10-14
100.0429,2010-10-15
100.036,2010-10-18
100.0264,2010-10-19
99.5461,2010-10-20
99.4126,2010-10-21
99.4152,2010-10-22
99.4224,2010-10-25
99.3243,2010-10-26
99.3001,2010-10-27
99.2893,2010-10-28
99.2848,2010-10-29
99.2665,2010-11-01
99.1714,2010-11-02
99.0005,2010-11-03
98.8763,2010-11-04
98.8278,2010-11-05
98.7669,2010-11-08
98.7179,2010-11-09
98.5064,2010-11-10
98.3513,2010-11-11
98.2544,2010-11-12
98.1699,2010-11-15
98.1968,2010-11-16
98.2426,2010-11-17
98.2908,2010-11-18
98.2291,2010-11-19
98.0075,2010-11-22
97.892,2010-11-23
97.7586,2010-11-24
97.6939,2010-11-25
97.5866,2010-11-26
97.5776,2010-11-29
97.6054,2010-11-30
97.7069,2010-12-01
97.7332,2010-12-02
97.7527,2010-12-03
97.8043,2010-12-06
97.8737,2010-12-07
97.8779,2010-12-08
97.8484,2010-12-09
97.8512,2010-12-10
97.8843,2010-12-13
97.897,2010-12-14
97.9223,2010-12-15
97.9455,2010-12-16
97.9769,2010-12-17
98.0124,2010-12-20
98.0104,2010-12-21
97.9874,2010-12-22
97.9523,2010-12-23
97.9175,2010-12-24
97.7586,2010-12-27
97.717,2010-12-28
97.7414,2010-12-29
97.7983,2010-12-30
97.8518,2010-12-31
97.9357,2011-01-04
98.0749,2011-01-05
98.0913,2011-01-06
98.1488,2011-01-07
98.138,2011-01-10
98.1007,2011-01-11
98.118,2011-01-12
98.0807,2011-01-13
98.0093,2011-01-14
97.9036,2011-01-17
97.786,2011-01-18
97.7565,2011-01-19
97.7145,2011-01-20
97.6893,2011-01-21
97.6632,2011-01-24
97.6097,2011-01-25
97.5904,2011-01-26
97.5938,2011-01-27
97.5829,2011-01-28
97.5828,2011-01-31
97.6069,2011-02-01
97.4136,2011-02-09
97.3646,2011-02-10
97.3265,2011-02-11
97.3721,2011-02-14
97.3938,2011-02-15
97.3823,2011-02-16
97.3748,2011-02-17
97.3818,2011-02-18
97.2707,2011-02-21
97.2889,2011-02-22
97.3609,2011-02-23
97.5023,2011-02-24
97.4679,2011-02-25
97.4998,2011-02-28
97.5088,2011-03-01
97.5365,2011-03-02
97.5421,2011-03-03
97.5276,2011-03-04
97.542,2011-03-07
97.589,2011-03-08
97.6406,2011-03-09
97.6006,2011-03-10
97.5765,2011-03-11
97.6015,2011-03-14
97.6655,2011-03-15
97.6583,2011-03-16
97.7207,2011-03-17
97.7034,2011-03-18
97.6649,2011-03-21
97.6467,2011-03-22
97.6565,2011-03-23
97.6759,2011-03-24
97.6683,2011-03-25
97.6533,2011-03-28
97.6411,2011-03-29
97.6361,2011-03-30
97.6168,2011-03-31
97.6248,2011-04-01
97.5897,2011-04-06
97.6117,2011-04-07
97.6295,2011-04-08
97.628,2011-04-11
97.6759,2011-04-12
97.6937,2011-04-13
97.7149,2011-04-14
97.7272,2011-04-15
97.7019,2011-04-18
97.7209,2011-04-19
97.7195,2011-04-20
97.7063,2011-04-21
97.7088,2011-04-22
97.6944,2011-04-25
97.6819,2011-04-26
97.7076,2011-04-27
97.7129,2011-04-28
97.7383,2011-04-29
97.7314,2011-05-03
97.7511,2011-05-04
97.7677,2011-05-05
97.8311,2011-05-06
97.8357,2011-05-09
97.857,2011-05-10
97.8641,2011-05-11
97.8875,2011-05-12
97.8432,2011-05-13
97.8277,2011-05-16
97.8284,2011-05-17
97.8328,2011-05-18
97.8196,2011-05-19
97.8056,2011-05-20
97.7894,2011-05-23
97.7726,2011-05-24
97.7682,2011-05-25
97.7675,2011-05-26
97.7917,2011-05-27
97.7836,2011-05-30
97.7618,2011-05-31
97.7513,2011-06-01
97.7329,2011-06-02
97.7337,2011-06-03
97.7111,2011-06-07
97.6755,2011-06-08
97.6415,2011-06-09
97.5855,2011-06-10
97.5309,2011-06-13
97.4292,2011-06-14
97.2529,2011-06-15
97.1726,2011-06-16
97.1412,2011-06-17
97.1688,2011-06-20
97.2105,2011-06-21
97.0971,2011-06-22
97.0287,2011-06-23
97.0901,2011-06-24
97.172,2011-06-27
97.1733,2011-06-28
97.1719,2011-06-29
97.1643,2011-06-30
97.2078,2011-07-01
97.2044,2011-07-04
97.1965,2011-07-05
97.1677,2011-07-06
97.1316,2011-07-07
97.1667,2011-07-08
97.1518,2011-07-11
97.1583,2011-07-12
97.1255,2011-07-13
97.0513,2011-07-14
97.034,2011-07-15
96.9576,2011-07-18
96.8131,2011-07-19
96.6138,2011-07-20
96.4594,2011-07-21
96.4305,2011-07-22
96.4322,2011-07-25
96.4005,2011-07-26
96.3793,2011-07-27
96.3294,2011-07-28
96.3473,2011-07-29
96.35,2011-08-01
96.3292,2011-08-02
96.2332,2011-08-03
96.2402,2011-08-04
96.3396,2011-08-05
96.4176,2011-08-08
96.487,2011-08-09
96.509,2011-08-10
96.5984,2011-08-11
96.6237,2011-08-12
96.6729,2011-08-15
96.6504,2011-08-16
96.6777,2011-08-17
96.6404,2011-08-18
96.6833,2011-08-19
96.6766,2011-08-22
96.6625,2011-08-23
96.6455,2011-08-24
96.5954,2011-08-25
96.5678,2011-08-26
96.2696,2011-08-29
96.0901,2011-08-30
96.0863,2011-08-31
96.1515,2011-09-01
96.1549,2011-09-02
96.1931,2011-09-05
96.2175,2011-09-06
96.1328,2011-09-07
96.0849,2011-09-08
96.1062,2011-09-09
96.1418,2011-09-13
96.1375,2011-09-14
96.1005,2011-09-15
96.0502,2011-09-16
96.0331,2011-09-19
96.0385,2011-09-20
96.0262,2011-09-21
96.0703,2011-09-22
96.2299,2011-09-23
96.4013,2011-09-26
96.3995,2011-09-27
96.3867,2011-09-28
96.4313,2011-09-29
96.4806,2011-09-30
96.712,2011-10-10
96.8008,2011-10-11
96.8103,2011-10-12
96.8066,2011-10-13
96.8958,2011-10-14
96.9386,2011-10-17
97.0962,2011-10-18
97.2872,2011-10-19
97.496,2011-10-20
97.5241,2011-10-21
97.5049,2011-10-24
97.4285,2011-10-25
97.4834,2011-10-26
97.4602,2011-10-27
97.4672,2011-10-28
97.5341,2011-10-31
97.6564,2011-11-01
97.7636,2011-11-02
97.834,2011-11-03
97.8996,2011-11-04
97.9283,2011-11-07
98.0732,2011-11-08
98.2404,2011-11-09
98.5542,2011-11-10
98.6022,2011-11-11
98.6174,2011-11-14
98.5491,2011-11-15
98.5264,2011-11-16
98.4515,2011-11-17
98.4397,2011-11-18
98.3527,2011-11-21
98.3259,2011-11-22
98.394,2011-11-23
98.4224,2011-11-24
98.4361,2011-11-25
98.4081,2011-11-28
98.3546,2011-11-29
98.3832,2011-11-30
98.8872,2011-12-01
99.0599,2011-12-02
99.0844,2011-12-05
99.0422,2011-12-06
99.0532,2011-12-07
99.0702,2011-12-08
99.0803,2011-12-09
99.0377,2011-12-12
99.0079,2011-12-13
98.9961,2011-12-14
98.9833,2011-12-15
99.0171,2011-12-16
99.0253,2011-12-19
99.0352,2011-12-20
99.0149,2011-12-21
99.0112,2011-12-22
99.0025,2011-12-23
99.0274,2011-12-26
99.0337,2011-12-27
99.0388,2011-12-28
99.0723,2011-12-29
99.1084,2011-12-30
99.115,2012-01-04
99.1256,2012-01-05
99.2323,2012-01-06
99.3013,2012-01-09
99.4083,2012-01-10
99.4233,2012-01-11
99.4554,2012-01-12
99.4321,2012-01-13
99.3993,2012-01-16
99.4151,2012-01-17
99.3969,2012-01-18
99.4568,2012-01-19
99.4889,2012-01-20
99.5312,2012-01-30
99.5648,2012-01-31
99.4916,2012-02-01
99.4559,2012-02-02
99.4663,2012-02-03
99.3903,2012-02-06
99.3627,2012-02-07
99.2567,2012-02-08
99.1771,2012-02-09
99.1946,2012-02-10
99.2509,2012-02-13
99.2514,2012-02-14
99.1886,2012-02-15
99.1314,2012-02-16
99.0669,2012-02-17
99.1853,2012-02-20
99.1514,2012-02-21
99.1412,2012-02-22
99.1474,2012-02-23
99.1549,2012-02-24
99.0752,2012-02-27
99.045,2012-02-28
99.0252,2012-02-29
99.0249,2012-03-01
99.0082,2012-03-02
98.9759,2012-03-05
99.0059,2012-03-06
99.0394,2012-03-07
99.0689,2012-03-08
99.0726,2012-03-09
99.0989,2012-03-12
99.0994,2012-03-13
99.0728,2012-03-14
99.0468,2012-03-15
99.0717,2012-03-16
99.0425,2012-03-19
99.0015,2012-03-20
98.9658,2012-03-21
98.9363,2012-03-22
98.9638,2012-03-23
98.9657,2012-03-26
98.9518,2012-03-27
98.9781,2012-03-28
99.0156,2012-03-29
99.0205,2012-03-30
99.0008,2012-04-05
98.9877,2012-04-06
98.9469,2012-04-09
98.9413,2012-04-10
98.9478,2012-04-11
98.9285,2012-04-12
98.8975,2012-04-13
98.8734,2012-04-16
98.8698,2012-04-17
98.8632,2012-04-18
98.8496,2012-04-19
98.8799,2012-04-20
98.8971,2012-04-23
98.9292,2012-04-24
98.918,2012-04-25
98.926,2012-04-26
98.9339,2012-04-27
98.9397,2012-05-02
98.9384,2012-05-03
98.9386,2012-05-04
98.9381,2012-05-07
98.9272,2012-05-08
98.9467,2012-05-09
99.0005,2012-05-10
99.1233,2012-05-11
99.4027,2012-05-14
99.6422,2012-05-15
99.7667,2012-05-16
99.7354,2012-05-17
99.8128,2012-05-18
99.7975,2012-05-21
99.8032,2012-05-22
99.8153,2012-05-23
99.9564,2012-05-24
100.164,2012-05-25
100.1533,2012-05-28
100.105,2012-05-29
100.076,2012-05-30
100.1236,2012-05-31
100.1606,2012-06-01
100.171,2012-06-04
100.1649,2012-06-05
100.1625,2012-06-06
100.1437,2012-06-07
100.398,2012-06-08
100.3309,2012-06-11
100.3018,2012-06-12
100.2501,2012-06-13
100.203,2012-06-14
100.2044,2012-06-15
100.1276,2012-06-18
100.072,2012-06-19
100.0359,2012-06-20
100.0465,2012-06-21
100.0579,2012-06-25
100.0692,2012-06-26
100.1164,2012-06-27
100.1389,2012-06-28
100.1494,2012-06-29
100.1391,2012-07-02
100.1435,2012-07-03
100.1529,2012-07-04
100.1742,2012-07-05
100.2972,2012-07-06
100.3401,2012-07-09
100.3546,2012-07-10
100.3729,2012-07-11
100.3847,2012-07-12
100.3725,2012-07-13
100.3407,2012-07-16
100.3116,2012-07-17
100.284,2012-07-18
100.2752,2012-07-19
100.2816,2012-07-20
100.2741,2012-07-23
100.2505,2012-07-24
100.2207,2012-07-25
100.1932,2012-07-26
100.1862,2012-07-27
100.1687,2012-07-30
100.1102,2012-07-31
100.0807,2012-08-01
100.0561,2012-08-02
100.0265,2012-08-03
99.9595,2012-08-06
99.8776,2012-08-07
99.81,2012-08-08
99.8273,2012-08-09
99.8161,2012-08-10
99.8066,2012-08-13
99.7787,2012-08-14
99.7387,2012-08-15
99.7121,2012-08-16
99.6892,2012-08-17
99.5999,2012-08-20
99.5551,2012-08-21
99.4559,2012-08-22
99.4445,2012-08-23
99.479,2012-08-24
99.4534,2012-08-27
99.4082,2012-08-28
99.383,2012-08-29
99.3603,2012-08-30
99.3525,2012-08-31
99.3657,2012-09-03
99.389,2012-09-04
99.381,2012-09-05
99.3735,2012-09-06
