close,date
2917.8525,2010/1/4
2941.4729,2010/1/5
2921.8748,2010/1/6
2860.3718,2010/1/7
2872.4092,2010/1/8
2879.4717,2010/1/11
2929.6306,2010/1/12
2849.6272,2010/1/13
2896.4685,2010/1/14
2909.5247,2010/1/15
2928.5186,2010/1/18
2930.5088,2010/1/19
2834.6848,2010/1/20
2848.9463,2010/1/21
2810.123,2010/1/22
2777.9014,2010/1/25
2703.8921,2010/1/26
2671.957,2010/1/27
2685.3835,2010/1/28
2687.7942,2010/1/29
2649.4207,2010/2/1
2640.9209,2010/2/2
2699.0854,2010/2/3
2699.5786,2010/2/4
2648.3767,2010/2/5
2645.0698,2010/2/8
2653.5195,2010/2/9
2686.8813,2010/2/10
2688.6826,2010/2/11
2719.0105,2010/2/12
2707.8972,2010/2/22
2695.8149,2010/2/23
2737.2981,2010/2/24
2776.0027,2010/2/25
2771.115,2010/2/26
2804.8689,2010/3/1
2796.9819,2010/3/2
2819.6604,2010/3/3
2746.6982,2010/3/4
2753.2737,2010/3/5
2775.3411,2010/3/8
2790.0388,2010/3/9
2767.6985,2010/3/10
2765.7578,2010/3/11
2729.1772,2010/3/12
2696.2683,2010/3/15
2715.127,2010/3/16
2773.3787,2010/3/17
2770.2295,2010/3/18
2790.5957,2010/3/19
2799.6973,2010/3/22
2781.646,2010/3/23
2789.1377,2010/3/24
2754.7568,2010/3/25
2792.1946,2010/3/26
2847.2852,2010/3/29
2854.9307,2010/3/30
2841.9175,2010/3/31
2879.197,2010/4/1
2888.1436,2010/4/2
2887.6794,2010/4/6
2882.0188,2010/4/7
2859.2031,2010/4/8
2888.3198,2010/4/9
2877.9897,2010/4/12
2891.6836,2010/4/13
2903.678,2010/4/14
2890.3345,2010/4/15
2865.4258,2010/4/16
2729.0161,2010/4/19
2732.186,2010/4/20
2790.0979,2010/4/21
2769.5701,2010/4/22
2753.281,2010/4/23
2741.5742,2010/4/26
2685.8318,2010/4/27
2675.7263,2010/4/28
2636.4863,2010/4/29
2623.2981,2010/4/30
2595.635,2010/5/4
2626.0454,2010/5/5
2525.6462,2010/5/6
2480.2161,2010/5/7
2479.5588,2010/5/10
2426.5657,2010/5/11
2425.708,2010/5/12
2482.4351,2010/5/13
2474.2952,2010/5/14
2342.5325,2010/5/17
2376.4202,2010/5/18
2373.8977,2010/5/19
2342.7744,2010/5/20
2379.2729,2010/5/21
2467.0898,2010/5/24
2425.8643,2010/5/25
2429.6675,2010/5/26
2465.9141,2010/5/27
2466.4604,2010/5/28
2405.4834,2010/5/31
2377.688,2010/6/1
2386.0808,2010/6/2
2371.7124,2010/6/3
2379.9822,2010/6/4
2346.9521,2010/6/7
2351.731,2010/6/8
2418.7344,2010/6/9
2400.9795,2010/6/10
2403.2544,2010/6/11
2389.9202,2010/6/17
2334.8423,2010/6/18
2405.1104,2010/6/21
2412.365,2010/6/22
2396.4272,2010/6/23
2398.7239,2010/6/24
2379.6174,2010/6/25
2358.3433,2010/6/28
2251.0808,2010/6/29
2221.4492,2010/6/30
2196.7825,2010/7/1
2199.1772,2010/7/2
2184.6946,2010/7/5
2233.575,2010/7/6
2250.4587,2010/7/7
2246.5378,2010/7/8
2302.0532,2010/7/9
2324.6489,2010/7/12
2289.8896,2010/7/13
2306.3728,2010/7/14
2261.5134,2010/7/15
2265.5232,2010/7/16
2316.978,2010/7/19
2370.1404,2010/7/20
2376.3601,2010/7/21
2405.2024,2010/7/22
2414.2734,2010/7/23
2433.4854,2010/7/26
2423.9746,2010/7/27
2478.6392,2010/7/28
2491.3989,2010/7/29
2485.0549,2010/7/30
2525.6675,2010/8/2
2482.7773,2010/8/3
2495.1399,2010/8/4
2483.5369,2010/8/5
2522.8025,2010/8/6
2539.395,2010/8/9
2463.0813,2010/8/10
2480.165,2010/8/11
2450.4412,2010/8/12
2485.1851,2010/8/13
2539.3618,2010/8/16
2553.5396,2010/8/17
2550.1333,2010/8/18
2564.5752,2010/8/19
2518.7383,2010/8/20
2521.7617,2010/8/23
2537.6367,2010/8/24
2484.8027,2010/8/25
2493.9685,2010/8/26
2502.9478,2010/8/27
2552.074,2010/8/30
2548.1951,2010/8/31
2528.9971,2010/9/1
2567.248,2010/9/2
2573.0613,2010/9/3
2601.4846,2010/9/6
2609.8606,2010/9/7
2612.4822,2010/9/8
2572.9863,2010/9/9
2584.1265,2010/9/10
2615.4402,2010/9/13
2618.3835,2010/9/14
2576.2893,2010/9/15
2523.9675,2010/9/16
2524.8979,2010/9/17
2512.1665,2010/9/20
2514.8953,2010/9/21
2559.8213,2010/9/27
2543.2634,2010/9/28
2532.3484,2010/9/29
2575.3315,2010/9/30
2650.9824,2010/10/8
2705.4341,2010/10/11
2732.1619,2010/10/12
2755.6638,2010/10/13
2741.897,2010/10/14
2811.8662,2010/10/15
2793.7158,2010/10/18
2853.3816,2010/10/19
2865.0239,2010/10/20
2857.5168,2010/10/21
2862.9167,2010/10/22
2937.7632,2010/10/25
2930.7598,2010/10/26
2891.208,2010/10/27
2888.439,2010/10/28
2884.6086,2010/10/29
2961.3882,2010/11/1
2947.374,2010/11/2
2920.3315,2010/11/3
2972.9573,2010/11/4
3013.1863,2010/11/5
3047.5754,2010/11/8
3031.6108,2010/11/9
3021.8269,2010/11/10
3046.0369,2010/11/11
2885.9338,2010/11/12
2923.0405,2010/11/15
2806.0601,2010/11/16
2741.8477,2010/11/17
2774.5728,2010/11/18
2807.896,2010/11/19
2812.4807,2010/11/22
2763.8311,2010/11/23
2801.5005,2010/11/24
2833.8896,2010/11/25
2811.2627,2010/11/26
2811.4978,2010/11/29
2762.1379,2010/11/30
2761.8118,2010/12/1
2780.5613,2010/12/2
2777.4658,2010/12/3
2782.8362,2010/12/6
2806.1799,2010/12/7
2783.0981,2010/12/8
2740.5222,2010/12/9
2770.6641,2010/12/10
2853.1992,2010/12/13
2863.6184,2010/12/14
2848.1165,2010/12/15
2838.8376,2010/12/16
2834.1445,2010/12/17
2793.8491,2010/12/20
2841.6877,2010/12/21
2816.7048,2010/12/22
2787.8984,2010/12/23
2762.385,2010/12/24
2706.0044,2010/12/27
2658.0857,2010/12/28
2680.3623,2010/12/29
2689.5022,2010/12/30
2737.5686,2010/12/31
2780.821,2011/1/4
2768.9219,2011/1/5
2754.5686,2011/1/6
2761.876,2011/1/7
2709.3159,2011/1/10
2717.3694,2011/1/11
2733.0605,2011/1/12
2739.29,2011/1/13
2701.4995,2011/1/14
2613.2771,2011/1/17
2617.2839,2011/1/18
2667.1047,2011/1/19
2585.6169,2011/1/20
2616.8625,2011/1/21
2589.7888,2011/1/24
2569.8977,2011/1/25
2601.6255,2011/1/26
2640.3801,2011/1/27
2649.1143,2011/1/28
2681.9158,2011/1/31
2690.3313,2011/2/1
2665.3159,2011/2/9
2717.4441,2011/2/10
2731.3635,2011/2/11
2800.1147,2011/2/14
2799.5637,2011/2/15
2828.8628,2011/2/16
2831.771,2011/2/17
2805.8582,2011/2/18
2843.2271,2011/2/21
2770.6711,2011/2/22
2779.2734,2011/2/23
2794.6472,2011/2/24
2795.606,2011/2/25
2824.3621,2011/2/28
2837.3442,2011/3/1
2832.2727,2011/3/2
2814.2871,2011/3/3
2852.2205,2011/3/4
2903.8962,2011/3/7
2908.6108,2011/3/8
2911.2871,2011/3/9
2871.9812,2011/3/10
2851.2944,2011/3/11
2860.9697,2011/3/14
2820.3303,2011/3/15
2855.3779,2011/3/16
2819.512,2011/3/17
2829.9917,2011/3/18
2828.0664,2011/3/21
2835.7634,2011/3/22
2865.4058,2011/3/23
2865.0012,2011/3/24
2893.759,2011/3/25
2893.6606,2011/3/28
2862.6104,2011/3/29
2857.54,2011/3/30
2829.7332,2011/3/31
2865.1155,2011/4/1
2887.885,2011/4/6
2896.3669,2011/4/7
2921.0498,2011/4/8
2909.5354,2011/4/11
2907.8835,2011/4/12
2935.5164,2011/4/13
2925.6855,2011/4/14
2931.2798,2011/4/15
2937.8306,2011/4/18
2887.4048,2011/4/19
2895.0017,2011/4/20
2914.9758,2011/4/21
2899.5435,2011/4/22
2852.488,2011/4/25
2824.9434,2011/4/26
2808.5781,2011/4/27
2762.5298,2011/4/28
2791.1301,2011/4/29
2814.936,2011/5/3
2751.1128,2011/5/4
2755.7842,2011/5/5
2751.1357,2011/5/6
2761.4365,2011/5/9
2778.4812,2011/5/10
2774.4824,2011/5/11
2737.6516,2011/5/12
2761.165,2011/5/13
2743.126,2011/5/16
2744.4041,2011/5/17
2762.9775,2011/5/18
2751.4275,2011/5/19
2748.6934,2011/5/20
2664.0215,2011/5/23
2658.6104,2011/5/24
2633.7385,2011/5/25
2624.8015,2011/5/26
2595.0278,2011/5/27
2585.5417,2011/5/30
2624.0471,2011/5/31
2632.594,2011/6/1
2595.8835,2011/6/2
2622.9783,2011/6/3
2641.468,2011/6/7
2649.2563,2011/6/8
2604.4683,2011/6/9
2611.3296,2011/6/10
2609.3252,2011/6/13
2641.2092,2011/6/14
2622.6199,2011/6/15
2580.7749,2011/6/16
2560.2351,2011/6/17
2537.3245,2011/6/20
2565.739,2011/6/21
2566.8528,2011/6/22
2608.8206,2011/6/23
2666.0056,2011/6/24
2679.4917,2011/6/27
2681.9883,2011/6/28
2652.8499,2011/6/29
2687.1235,2011/6/30
2691.0337,2011/7/1
2746.8662,2011/7/4
2754.2375,2011/7/5
2753.6223,2011/7/6
2741.563,2011/7/7
2743.7161,2011/7/8
2752.8994,2011/7/11
2707.3723,2011/7/12
2748.9783,2011/7/13
2763.6812,2011/7/14
2776.1682,2011/7/15
2772.282,2011/7/18
2750.6755,2011/7/19
2749.4531,2011/7/20
2721.759,2011/7/21
2729.4299,2011/7/22
2644.8511,2011/7/25
2659.1072,2011/7/26
2684.0381,2011/7/27
2671.5337,2011/7/28
2659.6453,2011/7/29
2663.575,2011/8/1
2641.3945,2011/8/2
2642.2229,2011/8/3
2648.7207,2011/8/4
2592.8433,2011/8/5
2489.4368,2011/8/8
2487.9844,2011/8/9
2514.5574,2011/8/10
2549.6665,2011/8/11
2564.3523,2011/8/12
2598.3284,2011/8/15
2579.6392,2011/8/16
2571.9656,2011/8/17
2529.8167,2011/8/18
2505.7407,2011/8/19
2484.991,2011/8/22
2522.812,2011/8/23
2513.7053,2011/8/24
2582.5657,2011/8/25
2582.3457,2011/8/26
2550.7104,2011/8/29
2538.542,2011/8/30
2537.5537,2011/8/31
2525.7266,2011/9/1
2498.5847,2011/9/2
2446.7664,2011/9/5
2433.6365,2011/9/6
2482.1575,2011/9/7
2464.1338,2011/9/8
2459.5559,2011/9/9
2430.4026,2011/9/13
2445.6694,2011/9/14
2446.2578,2011/9/15
2449.522,2011/9/16
2405.616,2011/9/19
2415.3489,2011/9/20
2480.3992,2011/9/21
2410.5479,2011/9/22
2396.9077,2011/9/23
2356.8569,2011/9/26
2376.2737,2011/9/27
2351.2627,2011/9/28
2317.3804,2011/9/29
2312.2429,2011/9/30
2298.0452,2011/10/10
2296.5129,2011/10/11
2367.7161,2011/10/12
