close,date
3711.06,2010-01-04
3739.87,2010-01-05
3714.81,2010-01-06
3631.42,2010-01-07
3633.14,2010-01-08
3639.24,2010-01-11
3711.58,2010-01-12
3597.55,2010-01-13
3638.79,2010-01-14
3646.66,2010-01-15
3668.86,2010-01-18
3664.84,2010-01-19
3547.2,2010-01-20
3546.83,2010-01-21
3507.8,2010-01-22
3476.6,2010-01-25
3407.73,2010-01-26
3376.22,2010-01-27
3386.63,2010-01-28
3371.43,2010-01-29
3318.78,2010-02-01
3306.94,2010-02-02
3385.13,2010-02-03
3372.79,2010-02-04
3310.8,2010-02-05
3300.32,2010-02-08
3310.08,2010-02-09
3349.59,2010-02-10
3364.87,2010-02-11
3397.47,2010-02-12
3369.68,2010-02-22
3347.54,2010-02-23
3395.43,2010-02-24
3432.73,2010-02-25
3419.69,2010-02-26
3458.33,2010-03-01
3440.25,2010-03-02
3458.52,2010-03-03
3388.08,2010-03-04
3391.35,2010-03-05
3408.77,2010-03-08
3427.4,2010-03-09
3402.91,2010-03-10
3403.63,2010-03-11
3360.9,2010-03-12
3312.55,2010-03-15
3321.98,2010-03-16
3382.39,2010-03-17
3373.86,2010-03-18
3406.63,2010-03-19
3406.86,2010-03-22
3382.85,2010-03-23
3386.57,2010-03-24
3345.44,2010-03-25
3385.34,2010-03-26
3459.66,2010-03-29
3457.85,2010-03-30
3436.26,2010-03-31
3479.78,2010-04-01
3478.99,2010-04-02
3471.88,2010-04-06
3454.7,2010-04-07
3409.81,2010-04-08
3436.53,2010-04-09
3410.11,2010-04-12
3454.83,2010-04-13
3452.43,2010-04-14
3446.68,2010-04-15
3415.01,2010-04-16
3241.33,2010-04-19
3226.6,2010-04-20
3286.51,2010-04-21
3236.65,2010-04-22
3209.36,2010-04-23
3190.89,2010-04-26
3138.87,2010-04-27
3134.81,2010-04-28
3109.11,2010-04-29
3121.74,2010-04-30
3075.82,2010-05-04
3083.42,2010-05-05
2954.21,2010-05-06
2898.84,2010-05-07
2923.32,2010-05-10
2874.26,2010-05-11
2891.83,2010-05-12
2954.04,2010-05-13
2938.56,2010-05-14
2798.71,2010-05-17
2849.1,2010-05-18
2842.81,2010-05-19
2817.75,2010-05-20
2856.19,2010-05-21
2949.52,2010-05-24
2875.74,2010-05-25
2877.5,2010-05-26
2919.85,2010-05-27
2912.64,2010-05-28
2845.29,2010-05-31
