close,date
3052.05,2010-01-04
3121.14,2010-01-05
3134.42,2010-01-06
3113.61,2010-01-07
3116.99,2010-01-08
3136.59,2010-01-11
3130.49,2010-01-12
3053.6,2010-01-13
3061.9,2010-01-14
3058.94,2010-01-15
3031.01,2010-01-18
3060.89,2010-01-19
3016.95,2010-01-20
2951.6,2010-01-21
2928.63,2010-01-22
2909.04,2010-01-25
2833.54,2010-01-26
2813.42,2010-01-27
2856.05,2010-01-28
2822.25,2010-01-29
2843.18,2010-02-01
2855.81,2010-02-02
2920.11,2010-02-03
2869.34,2010-02-04
2773.56,2010-02-05
2759.06,2010-02-08
2785.61,2010-02-09
2808.21,2010-02-10
2856.78,2010-02-11
2857.4,2010-02-12
2865.01,2010-02-22
2898.62,2010-02-23
2883.72,2010-02-24
2872.02,2010-02-25
2898.82,2010-02-26
2960.39,2010-03-01
2943.88,2010-03-02
2940.12,2010-03-03
2901.17,2010-03-04
2934.16,2010-03-05
2992.28,2010-03-08
2995.95,2010-03-09
2998.36,2010-03-10
3001.21,2010-03-11
2994.59,2010-03-12
2972.48,2010-03-15
2965.83,2010-03-16
3018.76,2010-03-17
3016.63,2010-03-18
3026.99,2010-03-19
2973.52,2010-03-22
2971.85,2010-03-23
2975.66,2010-03-24
2953.0,2010-03-25
2990.41,2010-03-26
3016.58,2010-03-29
3035.87,2010-03-30
3013.69,2010-03-31
3062.56,2010-04-01
3062.56,2010-04-02
3062.56,2010-04-06
3121.53,2010-04-07
3105.21,2010-04-08
3145.3,2010-04-09
3128.83,2010-04-12
3115.34,2010-04-13
3117.76,2010-04-14
3120.84,2010-04-15
3076.08,2010-04-16
3008.58,2010-04-19
3043.05,2010-04-20
3038.72,2010-04-21
3027.09,2010-04-22
3002.73,2010-04-23
3051.02,2010-04-26
3005.72,2010-04-27
2963.35,2010-04-28
2941.08,2010-04-29
2987.56,2010-04-30
2937.18,2010-05-04
2867.07,2010-05-05
2819.21,2010-05-06
2790.0,2010-05-07
2863.98,2010-05-10
